Type,T_MtoP,T_PtoI,T_ItoD,I_MtoP,I_PtoI,I_ItoD,M_MtoP,M_PtoI,M_ItoD,R_MtoP,R_PtoI,R_ItoD,P_MtoP,P_PtoI,P_ItoD
4,0,0.834812164,0.944350719,0.962011755,0.992957115,0.994633734,0.499858171,0.025746554,0.685486078,0.538101315,0.03510341,0.676000357,0.478861362,0.049232751,0.700110137
4,0,0.835039198,0.944039583,0.961911082,0.99295342,0.994629681,0.500269592,0.02573061,0.685341418,0.53872174,0.034969747,0.675730586,0.479930341,0.049076289,0.699702859
4,0,0.83536315,0.943583965,0.961685359,0.992949784,0.994624197,0.50098455,0.025703251,0.685088634,0.540049493,0.034754097,0.675180435,0.480429769,0.048974991,0.69950223
4,0,0.836216688,0.943024278,0.961484075,0.992954135,0.994624913,0.501644135,0.025678128,0.684854925,0.541072488,0.034853488,0.674863636,0.482420444,0.048660159,0.698722124
4,0,0.837605953,0.9424119,0.961312652,0.992953598,0.994622469,0.503471315,0.025637865,0.684221625,0.541532338,0.03477481,0.674672365,0.484918088,0.048488021,0.697824478
4,0,0.839236796,0.941985428,0.9611395,0.992948651,0.994616449,0.505339265,0.025658041,0.683594882,0.542173564,0.034719735,0.67442584,0.486373246,0.048302561,0.697263539
4,0,0.840651512,0.941529393,0.960986137,0.99294889,0.994614959,0.506963491,0.025588721,0.683015585,0.543022573,0.034554332,0.674061239,0.486874461,0.048285812,0.697089493
4,0,0.841487348,0.940446198,0.960823894,0.992944062,0.994609237,0.508492887,0.025506884,0.682462692,0.543847978,0.034318715,0.673677862,0.487186253,0.048260689,0.696976662
4,0,0.842351079,0.939846873,0.960701585,0.992940187,0.994604707,0.50983125,0.025435179,0.681977391,0.545103312,0.033997416,0.673105717,0.487463117,0.048161685,0.696846664
4,0,0.843292356,0.939299345,0.960594654,0.992934465,0.994598806,0.510986686,0.025373191,0.681558847,0.546353817,0.033695102,0.67254138,0.487873614,0.048017651,0.696655214
4,0,0.843940854,0.938615084,0.960453331,0.992936313,0.994598746,0.512004912,0.025317788,0.681189477,0.547455192,0.033442706,0.672049642,0.488428324,0.047887176,0.696420193
4,0,0.844714165,0.937869906,0.960317314,0.992938578,0.994598985,0.512907445,0.025269449,0.680861473,0.548463702,0.033223599,0.671602488,0.488833904,0.047749966,0.696231902
4,0,0.845526814,0.937126279,0.960178614,0.992947578,0.994604468,0.513712525,0.025226027,0.680568933,0.549386561,0.033049315,0.671203494,0.489328891,0.047605991,0.696010709
4,0,0.846419454,0.936239898,0.960050941,0.992953598,0.994607389,0.514436126,0.025187284,0.680304766,0.550225317,0.032967597,0.670872748,0.489862442,0.047539026,0.695807457
4,0,0.847467542,0.935413718,0.959923923,0.992955744,0.994607687,0.515089452,0.02515173,0.68006736,0.55099076,0.03288874,0.670567691,0.490395099,0.047470152,0.695602059
4,0,0.848338485,0.93454957,0.959842324,0.992952526,0.994604349,0.515684247,0.025119781,0.679850698,0.551754713,0.03279683,0.670256972,0.490938455,0.047416121,0.695396781
4,0,0.848994732,0.933469892,0.959787726,0.992944479,0.994597316,0.516225278,0.025090396,0.679653049,0.552415431,0.032650948,0.669962645,0.492734075,0.047254473,0.694724321
4,0,0.849625945,0.932437181,0.959758878,0.992935836,0.994590163,0.517410815,0.025207996,0.679290891,0.553099215,0.032463729,0.669641554,0.493395627,0.047180235,0.694469512
4,0,0.850469112,0.931406021,0.959717512,0.992929876,0.994585216,0.518546164,0.025227547,0.678907394,0.553912044,0.032355607,0.669306815,0.493997097,0.047008336,0.694196582
4,0,0.85127461,0.930065036,0.959688544,0.99292326,0.994579673,0.519798875,0.025169998,0.678451002,0.554537058,0.032313496,0.669065237,0.494488001,0.046866536,0.693970323
4,0,0.852036893,0.928565085,0.959655523,0.9929263,0.994581699,0.520899773,0.025118828,0.678050756,0.554935038,0.032276928,0.668908715,0.495483667,0.046833545,0.693617404
4,0,0.852673769,0.927416444,0.959595382,0.992926538,0.994581342,0.52186805,0.025073767,0.677697659,0.555408776,0.032154322,0.668688178,0.495993733,0.046801239,0.693434477
4,0,0.853117526,0.926705837,0.959533572,0.992931485,0.994584501,0.52395761,0.025115907,0.676989853,0.556093991,0.031977654,0.668368816,0.496345252,0.046770662,0.693303704
4,0,0.853676081,0.926159263,0.959477067,0.992938042,0.994588792,0.525808811,0.025153428,0.676360965,0.557169676,0.031816751,0.667915881,0.497519732,0.046708643,0.692884326
4,0,0.853813887,0.925999165,0.959378541,0.992942989,0.994591296,0.526608288,0.025071979,0.676049829,0.558330655,0.031645715,0.667426705,0.499409556,0.046671122,0.692238569
4,0,0.854006529,0.925759554,0.959205329,0.992951393,0.994596064,0.5277071,0.024952978,0.675619304,0.559317052,0.031460911,0.666994154,0.49969998,0.046628982,0.692126155
